text,label,severity,is_implicit,is_sarcasm,target_group,target_type,directness,call_to_action,tone,emotion,profanity_count,platform,domain,region,confidence,annotator_id
आज थंड वाऱ्यात फेरफटका मारला।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,general,general,urban_india,0.95,A1
आम्ही गरम चहासोबत नाश्ता केला आणि छान वाटले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,chat,education,india,0.96,A1
शाळेत क्रिकेट सामन्यावर गप्पा मारल्या म्हणून मन शांत झाले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,social_media,sports,urban_india,0.97,A1
घरी मुलांच्या अभ्यासाला मदत केली सगळे आनंदी झाले।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,news,health,india,0.98,A1
पुण्यात पावसानंतरचा सुगंध अनुभवला।,non_hate,none,False,False,none,none,none,False,neutral,none,0,general,general,urban_india,0.99,A1
मुंबईत कुटुंबासोबत जेवण बनवले आणि छान वाटले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,chat,education,india,0.95,A1
डॉक्टरांनी आरोग्य तपासणीचा अहवाल पाहिला म्हणून मन शांत झाले।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,social_media,sports,urban_india,0.96,A1
ऑफिसमध्ये मोहल्ल्यात स्वच्छता मोहीम केली सगळे आनंदी झाले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,news,health,india,0.97,A1
आज थंड वाऱ्यात फेरफटका मारला।,non_hate,none,False,False,none,none,none,False,neutral,none,0,general,general,urban_india,0.98,A1
आम्ही गरम चहासोबत नाश्ता केला आणि छान वाटले।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,chat,education,india,0.99,A1
शाळेत क्रिकेट सामन्यावर गप्पा मारल्या म्हणून मन शांत झाले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,social_media,sports,urban_india,0.95,A1
घरी मुलांच्या अभ्यासाला मदत केली सगळे आनंदी झाले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,news,health,india,0.96,A1
पुण्यात पावसानंतरचा सुगंध अनुभवला।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,general,general,urban_india,0.97,A1
मुंबईत कुटुंबासोबत जेवण बनवले आणि छान वाटले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,chat,education,india,0.98,A1
डॉक्टरांनी आरोग्य तपासणीचा अहवाल पाहिला म्हणून मन शांत झाले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,social_media,sports,urban_india,0.99,A1
ऑफिसमध्ये मोहल्ल्यात स्वच्छता मोहीम केली सगळे आनंदी झाले।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,news,health,india,0.95,A1
आज थंड वाऱ्यात फेरफटका मारला।,non_hate,none,False,False,none,none,none,False,neutral,none,0,general,general,urban_india,0.96,A1
आम्ही गरम चहासोबत नाश्ता केला आणि छान वाटले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,chat,education,india,0.97,A1
शाळेत क्रिकेट सामन्यावर गप्पा मारल्या म्हणून मन शांत झाले।,non_hate,none,False,False,none,none,none,False,neutral,joy,0,social_media,sports,urban_india,0.98,A1
घरी मुलांच्या अभ्यासाला मदत केली सगळे आनंदी झाले।,non_hate,none,False,False,none,none,none,False,neutral,none,0,news,health,india,0.99,A1
